CASE_TYPE,REGION,COMPLEXITY,DELAY_FLAG,OUTCOME
Other,SHAH,High,No,Resolved
Other,BANERJEE,Low,No,Resolved
Other,SHAH,Low,No,Resolved
Other,ROY,Low,No,Resolved
Other,BHAT,Low,No,Resolved
Other,KHANNA,Low,No,Resolved
Other,NARASIMHA,Low,No,Resolved
Other,BOPANNA,Low,No,Resolved
Other,ROY,High,No,Resolved
Other,OKA,Low,No,Resolved
Other,RAMASUBRAMANIAN,High,No,Resolved
Other,ROY,Low,No,Resolved
Other,SHAH,Low,No,Resolved
Other,TRIVEDI,High,No,Resolved
Other,nan,Low,No,Resolved
Other,RASTOGI,High,No,Resolved
Other,GAVAI,Low,No,Resolved
Other,MAHESHWARI,Low,No,Resolved
Other,NAGARATHNA,Low,No,Resolved
Other,SHAH,Low,No,Resolved
Other,BHAT,Low,No,Resolved
Other,BHAT,High,No,Resolved
Other,NAGARATHNA,Low,No,Resolved
Other,BOPANNA,Low,No,Resolved
Other,BOSE,Low,No,Resolved
Other,NAGARATHNA,High,No,Resolved
Other,RASTOGI,High,No,Resolved
Other,BHAT,Low,No,Resolved
Other,KHANNA,High,No,Resolved
Other,SHAH,Low,No,Resolved
Other,MURARI,Low,No,Resolved
Other,BOPANNA,Low,No,Resolved
Other,BOSE,Low,No,Resolved
Other,OKA,Low,No,Resolved
Other,OKA,Low,No,Resolved
Other,OKA,Low,No,Resolved
Other,GUPTA,Low,No,Resolved
Other,RASTOGI,Low,No,Resolved
Other,BHAT,Low,No,Resolved
Other,OKA,Low,No,Resolved
Other,BOPANNA,Low,No,Resolved
Other,BOPANNA,Low,No,Resolved
Other,RASTOGI,Low,No,Resolved
Other,REDDY,Low,No,Resolved
Other,REDDY,Low,No,Resolved
Other,RAMASUBRAMANIAN,Low,No,Resolved
Other,RAMASUBRAMANIAN,Low,No,Resolved
Other,GUPTA,Low,No,Resolved
Other,BHAT,High,No,Resolved
Other,BOPANNA,Low,No,Resolved
